delivery_date,hour_ending,HHI,Pivotal
11/2/2020,15,1002.334474,0
11/2/2020,16,999.415569,0
11/2/2020,17,1084.705864,0
11/2/2020,18,1095.229228,0
11/2/2020,19,1088.918943,0
11/2/2020,20,1096.296809,0
11/2/2020,21,1092.002942,0
11/2/2020,22,1090.825366,0
11/2/2020,23,1094.502252,0
11/2/2020,24,1093.035371,0
11/3/2020,1,916.7734901,0
11/3/2020,2,917.8743522,0
11/3/2020,3,918.4303636,0
11/3/2020,4,917.6244304,0
11/3/2020,5,920.2601838,0
11/3/2020,6,927.5022961,0
11/3/2020,7,947.5918511,0
11/3/2020,8,944.3783988,0
11/3/2020,9,954.2025501,0
11/3/2020,10,952.8591314,0
11/3/2020,11,943.0424303,0
11/3/2020,12,1022.794736,0
11/3/2020,13,1021.653545,0
11/3/2020,14,953.4966817,0
11/3/2020,15,951.8841844,0
11/3/2020,16,950.1931109,0
11/3/2020,17,930.6992511,0
11/3/2020,18,939.1955314,0
11/3/2020,19,909.3303799,0
11/3/2020,20,915.0744627,0
11/3/2020,21,918.7039956,0
11/3/2020,22,914.9669008,0
11/3/2020,23,877.9628334,0
11/3/2020,24,875.5728712,0
11/4/2020,1,877.4296388,0
11/4/2020,2,844.0495581,0
11/4/2020,3,845.3680216,0
11/4/2020,4,847.0489187,0
11/4/2020,5,851.8972613,0
11/4/2020,6,877.9308492,0
11/4/2020,7,886.1302059,0
11/4/2020,8,878.1673821,0
11/4/2020,9,877.5323146,0
11/4/2020,10,866.3175852,0
11/4/2020,11,847.700716,0
11/4/2020,12,846.5230069,0
11/4/2020,13,843.3031859,0
11/4/2020,14,840.5580786,0
11/4/2020,15,854.5689965,0
11/4/2020,16,853.803668,0
11/4/2020,17,854.5693748,0
11/4/2020,18,867.5488377,0
11/4/2020,19,856.7395696,0
11/4/2020,20,858.3773673,0
11/4/2020,21,866.810114,0
11/4/2020,22,875.4136794,0
11/4/2020,23,825.4785522,0
11/4/2020,24,816.7151905,0
11/5/2020,1,795.3376397,0
11/5/2020,2,795.2944936,0
11/5/2020,3,797.5923003,0
11/5/2020,4,798.2319191,0
11/5/2020,5,803.7223189,0
11/5/2020,6,820.2592278,0
11/5/2020,7,903.070032,0
11/5/2020,8,888.0270231,0
11/5/2020,9,887.8422467,0
11/5/2020,10,879.4656851,0
11/5/2020,11,858.1000799,0
11/5/2020,12,847.8086427,0
11/5/2020,13,849.2828474,0
11/5/2020,14,872.1678486,0
11/5/2020,15,933.0758031,0
11/5/2020,16,955.0692137,0
11/5/2020,17,958.3861324,0
11/5/2020,18,1019.839565,0
11/5/2020,19,1001.416882,0
11/5/2020,20,919.2099251,0
11/5/2020,21,868.4811581,0
11/5/2020,22,861.1626568,0
11/5/2020,23,854.5756304,0
11/5/2020,24,853.765521,0
11/6/2020,1,844.0984606,0
11/6/2020,2,846.1511577,0
11/6/2020,3,847.5647791,0
11/6/2020,4,850.6669855,0
11/6/2020,5,852.615012,0
11/6/2020,6,864.9465521,0
11/6/2020,7,852.9436378,0
11/6/2020,8,849.5040669,0
11/6/2020,9,845.9320576,0
11/6/2020,10,839.3089769,0
11/6/2020,11,837.9028916,0
11/6/2020,12,837.508956,0
11/6/2020,13,837.6833964,0
11/6/2020,14,894.0554179,0
11/6/2020,15,893.0655089,0
11/6/2020,16,847.8615565,0
11/6/2020,17,849.3978364,0
11/6/2020,18,862.6533565,0
11/6/2020,19,923.8105781,0
11/6/2020,20,911.9841158,0
11/6/2020,21,898.4928349,0
11/6/2020,22,904.1700244,0
11/6/2020,23,839.6225862,0
11/6/2020,24,835.9224534,0
11/7/2020,1,833.1649714,0
11/7/2020,2,832.7081537,0
11/7/2020,3,833.853072,0
11/7/2020,4,832.6597495,0
11/7/2020,5,833.8365405,0
11/7/2020,6,875.4664764,0
11/7/2020,7,904.6110196,0
11/7/2020,8,899.7025743,0
11/7/2020,9,895.1934772,0
11/7/2020,10,858.7232218,0
